"rzone10","ezone10","county10","isMPA","isPDX","is4co","isMult","isClack","isWash","isClarkco"
320,43,3,1,0,1,0,0,1,1
321,43,3,1,0,1,0,0,1,1
322,43,3,1,0,1,0,0,1,1
323,43,3,1,0,1,0,0,1,1
324,43,3,1,0,1,0,0,1,1
325,56,3,0,0,1,0,0,1,1
326,56,3,1,0,1,0,0,1,1
327,54,3,1,0,1,0,0,1,1
328,54,3,1,0,1,0,0,1,1
329,54,3,1,0,1,0,0,1,1
330,54,3,1,0,1,0,0,1,1
331,54,3,1,0,1,0,0,1,1
332,54,3,1,0,1,0,0,1,1
333,54,3,1,0,1,0,0,1,1
334,54,3,1,0,1,0,0,1,1
335,54,3,1,0,1,0,0,1,1
336,53,3,1,0,1,0,0,1,1
337,53,3,1,0,1,0,0,1,1
338,53,3,1,0,1,0,0,1,1
339,53,3,1,0,1,0,0,1,1
340,53,3,1,0,1,0,0,1,1
341,53,3,1,0,1,0,0,1,1
342,53,3,1,0,1,0,0,1,1
343,57,3,0,0,1,0,0,1,1
344,57,3,0,0,1,0,0,1,1
345,55,3,1,0,1,0,0,1,1
346,55,3,1,0,1,0,0,1,1
347,56,3,0,0,1,0,0,1,1
348,55,3,1,0,1,0,0,1,1
349,55,3,1,0,1,0,0,1,1
350,55,3,1,0,1,0,0,1,1
351,55,3,1,0,1,0,0,1,1
352,55,3,0,0,1,0,0,1,1
353,57,3,0,0,1,0,0,1,1
354,57,3,0,0,1,0,0,1,1
355,57,3,0,0,1,0,0,1,1
356,68,4,0,0,1,0,0,0,0
357,68,4,0,0,1,0,0,0,0
358,68,4,0,0,1,0,0,0,0
359,68,4,0,0,1,0,0,0,0
360,68,4,0,0,1,0,0,0,0
361,67,4,0,0,1,0,0,0,0
362,67,4,0,0,1,0,0,0,0
363,67,4,0,0,1,0,0,0,0
364,68,4,0,0,1,0,0,0,0
365,68,4,0,0,1,0,0,0,0
366,67,4,0,0,1,0,0,0,0
367,67,4,0,0,1,0,0,0,0
368,67,4,0,0,1,0,0,0,0
369,68,4,0,0,1,0,0,0,0
370,68,4,0,0,1,0,0,0,0
371,68,4,0,0,1,0,0,0,0
372,68,4,0,0,1,0,0,0,0
373,68,4,0,0,1,0,0,0,0
374,68,4,0,0,1,0,0,0,0
375,61,4,0,0,1,0,0,0,0
376,61,4,0,0,1,0,0,0,0
377,61,4,0,0,1,0,0,0,0
378,61,4,0,0,1,0,0,0,0
379,61,4,0,0,1,0,0,0,0
380,62,4,0,0,1,0,0,0,0
381,62,4,0,0,1,0,0,0,0
382,61,4,0,0,1,0,0,0,0
383,61,4,0,0,1,0,0,0,0
384,61,4,0,0,1,0,0,0,0
385,61,4,0,0,1,0,0,0,0
386,64,4,0,0,1,0,0,0,0
387,64,4,0,0,1,0,0,0,0
388,64,4,0,0,1,0,0,0,0
389,64,4,0,0,1,0,0,0,0
390,64,4,0,0,1,0,0,0,0
391,64,4,0,0,1,0,0,0,0
392,64,4,0,0,1,0,0,0,0
393,65,4,0,0,1,0,0,0,0
394,64,4,0,0,1,0,0,0,0
395,64,4,0,0,1,0,0,0,0
396,65,4,0,0,1,0,0,0,0
397,65,4,0,0,1,0,0,0,0
398,65,4,0,0,1,0,0,0,0
399,66,4,0,0,1,0,0,0,0
400,66,4,0,0,1,0,0,0,0
401,66,4,0,0,1,0,0,0,0
402,66,4,0,0,1,0,0,0,0
403,66,4,0,0,1,0,0,0,0
404,66,4,0,0,1,0,0,0,0
405,66,4,0,0,1,0,0,0,0
406,58,4,0,0,1,0,0,0,0
407,66,4,0,0,1,0,0,0,0
408,66,4,0,0,1,0,0,0,0
409,66,4,0,0,1,0,0,0,0
410,65,4,0,0,1,0,0,0,0
411,65,4,0,0,1,0,0,0,0
412,63,4,0,0,1,0,0,0,0
413,65,4,0,0,1,0,0,0,0
414,63,4,0,0,1,0,0,0,0
415,63,4,0,0,1,0,0,0,0
416,65,4,0,0,1,0,0,0,0
417,65,4,0,0,1,0,0,0,0
418,65,4,0,0,1,0,0,0,0
419,60,4,0,0,1,0,0,0,0
420,63,4,0,0,1,0,0,0,0
421,63,4,0,0,1,0,0,0,0
422,63,4,0,0,1,0,0,0,0
423,60,4,0,0,1,0,0,0,0
424,60,4,0,0,1,0,0,0,0
425,63,4,0,0,1,0,0,0,0
426,63,4,0,0,1,0,0,0,0
427,63,4,0,0,1,0,0,0,0
428,63,4,0,0,1,0,0,0,0
429,62,4,0,0,1,0,0,0,0
430,62,4,0,0,1,0,0,0,0
431,62,4,0,0,1,0,0,0,0
432,60,4,0,0,1,0,0,0,0
433,60,4,0,0,1,0,0,0,0
434,61,4,0,0,1,0,0,0,0
435,62,4,0,0,1,0,0,0,0
436,62,4,0,0,1,0,0,0,0
437,61,4,0,0,1,0,0,0,0
438,61,4,0,0,1,0,0,0,0
439,63,4,0,0,1,0,0,0,0
440,63,4,0,0,1,0,0,0,0
441,62,4,0,0,1,0,0,0,0
442,62,4,0,0,1,0,0,0,0
443,61,4,0,0,1,0,0,0,0
444,61,4,0,0,1,0,0,0,0
445,63,4,0,0,1,0,0,0,0
446,59,4,0,0,1,0,0,0,0
447,59,4,0,0,1,0,0,0,0
448,58,4,0,0,1,0,0,0,0
449,58,4,0,0,1,0,0,0,0
450,58,4,0,0,1,0,0,0,0
451,58,4,0,0,1,0,0,0,0
452,58,4,0,0,1,0,0,0,0
453,58,4,0,0,1,0,0,0,0
454,59,4,0,0,1,0,0,0,0
455,59,4,0,0,1,0,0,0,0
456,59,4,0,0,1,0,0,0,0
457,60,4,0,0,1,0,0,0,0
458,60,4,0,0,1,0,0,0,0
459,60,4,0,0,1,0,0,0,0
460,69,5,0,0,0,0,0,0,0
461,69,5,0,0,0,0,0,0,0
462,69,5,0,0,0,0,0,0,0
463,69,5,0,0,0,0,0,0,0
464,69,5,0,0,0,0,0,0,0
465,69,5,0,0,0,0,0,0,0
466,69,5,0,0,0,0,0,0,0
467,69,5,0,0,0,0,0,0,0
468,69,5,0,0,0,0,0,0,0
469,69,5,0,0,0,0,0,0,0
470,70,6,0,0,0,0,0,0,0
471,70,6,0,0,0,0,0,0,0
472,70,6,0,0,0,0,0,0,0
473,70,6,0,0,0,0,0,0,0
474,71,6,0,0,0,0,0,0,0
475,71,6,0,0,0,0,0,0,0
476,71,6,0,0,0,0,0,0,0
477,71,6,0,0,0,0,0,0,0
478,71,6,0,0,0,0,0,0,0
479,71,6,0,0,0,0,0,0,0
480,71,6,0,0,0,0,0,0,0
481,71,6,0,0,0,0,0,0,0
482,71,6,0,0,0,0,0,0,0
483,71,6,0,0,0,0,0,0,0
484,71,6,0,0,0,0,0,0,0
485,71,6,0,0,0,0,0,0,0
486,71,6,0,0,0,0,0,0,0
487,72,7,0,0,0,0,0,0,0
488,72,7,0,0,0,0,0,0,0
489,72,7,0,0,0,0,0,0,0
490,72,7,0,0,0,0,0,0,0
491,72,7,0,0,0,0,0,0,0
492,72,7,0,0,0,0,0,0,0
493,72,7,0,0,0,0,0,0,0
494,72,7,0,0,0,0,0,0,0
